score_ratio,subject,learning_goal,difficulty
0.28,JavaScript,Interview Preparation,Beginner
0.8,MySQL,Interview Preparation,Intermediate
0.31,C,Academic Learning,Beginner
0.29,React.js,Academic Learning,Beginner
0.91,C++,Competitive Programming,Advanced
0.53,MySQL,Academic Learning,Intermediate
0.24,C,Interview Preparation,Beginner
0.65,MySQL,Interview Preparation,Intermediate
0.53,PHP,Academic Learning,Intermediate
0.4,C++,Interview Preparation,Beginner
0.31,MySQL,Competitive Programming,Beginner
0.85,Java,Academic Learning,Advanced
0.53,Java,Competitive Programming,Intermediate
0.86,C,Academic Learning,Advanced
0.79,JavaScript,Competitive Programming,Intermediate
0.37,C++,Competitive Programming,Beginner
0.49,PHP,Competitive Programming,Beginner
0.61,PHP,Academic Learning,Intermediate
0.49,JavaScript,Interview Preparation,Beginner
0.51,MySQL,Interview Preparation,Intermediate
0.47,Python,Competitive Programming,Beginner
0.82,PHP,Academic Learning,Advanced
0.39,MySQL,Academic Learning,Beginner
0.67,JavaScript,Academic Learning,Intermediate
0.22,C,Academic Learning,Beginner
0.46,MySQL,Competitive Programming,Beginner
0.75,React.js,Academic Learning,Intermediate
0.67,C++,Competitive Programming,Intermediate
0.64,Java,Interview Preparation,Intermediate
0.38,C,Academic Learning,Beginner
0.86,Python,Academic Learning,Advanced
0.42,JavaScript,Academic Learning,Beginner
0.77,JavaScript,Academic Learning,Intermediate
0.39,React.js,Interview Preparation,Beginner
0.84,C++,Interview Preparation,Advanced
0.33,Java,Interview Preparation,Beginner
0.83,Java,Competitive Programming,Advanced
0.47,C,Academic Learning,Beginner
0.85,PHP,Competitive Programming,Advanced
0.62,Python,Academic Learning,Intermediate
0.25,C++,Interview Preparation,Beginner
0.51,Python,Interview Preparation,Intermediate
0.54,C,Interview Preparation,Intermediate
0.53,Python,Interview Preparation,Intermediate
0.5,JavaScript,Competitive Programming,Beginner
0.88,C,Competitive Programming,Advanced
0.67,C,Interview Preparation,Intermediate
0.88,MySQL,Interview Preparation,Advanced
0.77,Python,Competitive Programming,Intermediate
0.49,PHP,Competitive Programming,Beginner
0.66,Java,Competitive Programming,Intermediate
0.75,PHP,Interview Preparation,Intermediate
0.7,Python,Interview Preparation,Intermediate
0.94,JavaScript,Competitive Programming,Advanced
0.51,Python,Competitive Programming,Intermediate
0.72,Python,Competitive Programming,Intermediate
0.42,React.js,Academic Learning,Beginner
0.81,React.js,Competitive Programming,Advanced
0.7,MySQL,Interview Preparation,Intermediate
0.68,JavaScript,Competitive Programming,Intermediate
0.8,C++,Competitive Programming,Intermediate
0.26,MySQL,Academic Learning,Beginner
0.74,React.js,Interview Preparation,Intermediate
0.43,Java,Interview Preparation,Beginner
0.33,Python,Academic Learning,Beginner
0.42,C++,Competitive Programming,Beginner
0.7,Java,Competitive Programming,Intermediate
0.69,MySQL,Interview Preparation,Intermediate
0.9,React.js,Academic Learning,Advanced
0.87,Java,Interview Preparation,Advanced
0.52,C++,Academic Learning,Intermediate
0.23,PHP,Interview Preparation,Beginner
0.26,React.js,Competitive Programming,Beginner
0.43,React.js,Academic Learning,Beginner
0.24,C,Competitive Programming,Beginner
0.43,JavaScript,Interview Preparation,Beginner
0.52,React.js,Competitive Programming,Intermediate
0.8,Python,Competitive Programming,Intermediate
0.82,React.js,Academic Learning,Advanced
0.5,Java,Academic Learning,Beginner
0.85,C,Academic Learning,Advanced
0.75,React.js,Interview Preparation,Intermediate
0.84,Java,Interview Preparation,Advanced
0.63,C++,Competitive Programming,Intermediate
0.37,C,Academic Learning,Beginner
0.26,C++,Competitive Programming,Beginner
0.63,Python,Academic Learning,Intermediate
0.25,C++,Interview Preparation,Beginner
0.44,JavaScript,Interview Preparation,Beginner
0.91,PHP,Academic Learning,Advanced
0.52,JavaScript,Interview Preparation,Intermediate
0.33,PHP,Interview Preparation,Beginner
0.22,C++,Competitive Programming,Beginner
0.54,MySQL,Competitive Programming,Intermediate
0.4,C,Competitive Programming,Beginner
0.83,PHP,Interview Preparation,Advanced
0.79,JavaScript,Competitive Programming,Intermediate
0.22,Java,Academic Learning,Beginner
0.75,JavaScript,Competitive Programming,Intermediate
0.7,React.js,Interview Preparation,Intermediate
0.76,C,Competitive Programming,Intermediate
0.32,C,Interview Preparation,Beginner
0.74,Python,Academic Learning,Intermediate
0.31,React.js,Competitive Programming,Beginner
0.8,Python,Interview Preparation,Intermediate
0.59,JavaScript,Interview Preparation,Intermediate
0.92,JavaScript,Competitive Programming,Advanced
0.82,MySQL,Competitive Programming,Advanced
0.79,React.js,Competitive Programming,Intermediate
0.63,MySQL,Academic Learning,Intermediate
0.27,C++,Interview Preparation,Beginner
0.87,Python,Academic Learning,Advanced
0.49,JavaScript,Academic Learning,Beginner
0.85,C,Interview Preparation,Advanced
0.88,MySQL,Competitive Programming,Advanced
0.54,C++,Academic Learning,Intermediate
0.85,JavaScript,Interview Preparation,Advanced
0.26,Python,Competitive Programming,Beginner
0.32,C,Interview Preparation,Beginner
0.71,React.js,Competitive Programming,Intermediate
0.38,React.js,Academic Learning,Beginner
0.54,JavaScript,Competitive Programming,Intermediate
0.33,Python,Interview Preparation,Beginner
0.66,C++,Academic Learning,Intermediate
0.69,JavaScript,Interview Preparation,Intermediate
0.82,Java,Academic Learning,Advanced
0.53,Python,Academic Learning,Intermediate
0.85,Python,Competitive Programming,Advanced
0.55,PHP,Interview Preparation,Intermediate
0.86,Java,Interview Preparation,Advanced
0.65,Python,Academic Learning,Intermediate
0.22,JavaScript,Academic Learning,Beginner
0.2,Python,Competitive Programming,Beginner
0.36,React.js,Academic Learning,Beginner
0.38,Python,Academic Learning,Beginner
0.45,React.js,Competitive Programming,Beginner
0.37,C++,Interview Preparation,Beginner
0.58,PHP,Competitive Programming,Intermediate
0.37,C,Competitive Programming,Beginner
0.65,Python,Interview Preparation,Intermediate
0.6,C++,Competitive Programming,Intermediate
0.9,C,Competitive Programming,Advanced
0.3,JavaScript,Academic Learning,Beginner
0.77,Python,Academic Learning,Intermediate
0.7,C,Interview Preparation,Intermediate
0.38,Python,Competitive Programming,Beginner
0.88,React.js,Academic Learning,Advanced
0.32,Java,Competitive Programming,Beginner
0.5,PHP,Interview Preparation,Beginner
0.49,C,Academic Learning,Beginner
0.69,React.js,Interview Preparation,Intermediate
0.65,C++,Competitive Programming,Intermediate
0.49,PHP,Interview Preparation,Beginner
0.52,C++,Interview Preparation,Intermediate
0.2,React.js,Academic Learning,Beginner
0.46,Python,Interview Preparation,Beginner
0.64,MySQL,Academic Learning,Intermediate
0.47,C++,Academic Learning,Beginner
0.86,Java,Competitive Programming,Advanced
0.54,JavaScript,Academic Learning,Intermediate
0.39,JavaScript,Interview Preparation,Beginner
0.49,PHP,Competitive Programming,Beginner
0.37,C++,Competitive Programming,Beginner
0.57,PHP,Competitive Programming,Intermediate
0.43,C++,Academic Learning,Beginner
0.93,C,Competitive Programming,Advanced
0.68,Java,Competitive Programming,Intermediate
0.38,C++,Interview Preparation,Beginner
0.82,C++,Academic Learning,Advanced
0.85,C,Academic Learning,Advanced
0.52,C++,Interview Preparation,Intermediate
0.33,JavaScript,Competitive Programming,Beginner
0.2,JavaScript,Competitive Programming,Beginner
0.81,React.js,Interview Preparation,Advanced
0.89,C,Interview Preparation,Advanced
0.89,JavaScript,Academic Learning,Advanced
0.61,React.js,Competitive Programming,Intermediate
0.78,PHP,Interview Preparation,Intermediate
0.24,JavaScript,Interview Preparation,Beginner
0.52,MySQL,Competitive Programming,Intermediate
0.64,C,Interview Preparation,Intermediate
0.62,MySQL,Competitive Programming,Intermediate
0.34,C,Academic Learning,Beginner
0.87,PHP,Competitive Programming,Advanced
0.33,React.js,Competitive Programming,Beginner
0.62,C++,Academic Learning,Intermediate
0.85,C++,Interview Preparation,Advanced
0.23,C,Interview Preparation,Beginner
0.75,PHP,Academic Learning,Intermediate
0.65,PHP,Academic Learning,Intermediate
0.92,C,Competitive Programming,Advanced
0.63,MySQL,Academic Learning,Intermediate
0.26,PHP,Interview Preparation,Beginner
0.48,React.js,Competitive Programming,Beginner
0.73,JavaScript,Competitive Programming,Intermediate
0.89,Java,Competitive Programming,Advanced
0.55,JavaScript,Interview Preparation,Intermediate
0.89,Python,Competitive Programming,Advanced
0.23,PHP,Competitive Programming,Beginner
0.89,React.js,Interview Preparation,Advanced
0.8,PHP,Competitive Programming,Intermediate
0.45,MySQL,Academic Learning,Beginner
0.58,Java,Interview Preparation,Intermediate
0.48,C,Competitive Programming,Beginner
0.61,C++,Interview Preparation,Intermediate
0.81,React.js,Interview Preparation,Advanced
0.93,Java,Competitive Programming,Advanced
0.31,Java,Academic Learning,Beginner
0.51,React.js,Interview Preparation,Intermediate
0.62,JavaScript,Academic Learning,Intermediate
0.72,C++,Competitive Programming,Intermediate
0.91,Java,Interview Preparation,Advanced
0.68,C++,Interview Preparation,Intermediate
0.73,Java,Academic Learning,Intermediate
0.72,C,Academic Learning,Intermediate
0.56,PHP,Interview Preparation,Intermediate
0.84,C++,Academic Learning,Advanced
0.46,MySQL,Competitive Programming,Beginner
0.22,JavaScript,Interview Preparation,Beginner
0.78,C,Competitive Programming,Intermediate
0.58,Java,Competitive Programming,Intermediate
0.46,JavaScript,Interview Preparation,Beginner
0.73,Java,Competitive Programming,Intermediate
0.67,JavaScript,Academic Learning,Intermediate
0.22,MySQL,Academic Learning,Beginner
0.53,PHP,Academic Learning,Intermediate
0.88,C,Academic Learning,Advanced
0.59,MySQL,Competitive Programming,Intermediate
0.7,C,Academic Learning,Intermediate
0.88,MySQL,Academic Learning,Advanced
0.74,Java,Competitive Programming,Intermediate
0.31,React.js,Interview Preparation,Beginner
0.45,React.js,Competitive Programming,Beginner
0.67,Java,Interview Preparation,Intermediate
0.27,C++,Competitive Programming,Beginner
0.61,Java,Interview Preparation,Intermediate
0.91,C++,Interview Preparation,Advanced
0.89,JavaScript,Academic Learning,Advanced
0.65,JavaScript,Academic Learning,Intermediate
0.44,PHP,Interview Preparation,Beginner
0.67,JavaScript,Interview Preparation,Intermediate
0.67,MySQL,Interview Preparation,Intermediate
0.38,Java,Academic Learning,Beginner
0.85,C,Interview Preparation,Advanced
0.45,Python,Academic Learning,Beginner
0.56,Java,Academic Learning,Intermediate
0.81,JavaScript,Academic Learning,Advanced
0.28,Java,Academic Learning,Beginner
0.85,React.js,Academic Learning,Advanced
0.35,PHP,Interview Preparation,Beginner
0.43,Python,Interview Preparation,Beginner
0.81,Java,Academic Learning,Advanced
0.77,JavaScript,Interview Preparation,Intermediate
0.34,C++,Academic Learning,Beginner
0.86,MySQL,Competitive Programming,Advanced
0.44,C,Academic Learning,Beginner
0.91,PHP,Interview Preparation,Advanced
0.22,C,Competitive Programming,Beginner
0.94,React.js,Interview Preparation,Advanced
0.74,React.js,Academic Learning,Intermediate
0.47,React.js,Academic Learning,Beginner
0.88,Java,Interview Preparation,Advanced
0.71,MySQL,Interview Preparation,Intermediate
0.73,C++,Academic Learning,Intermediate
0.88,Python,Competitive Programming,Advanced
0.93,Python,Interview Preparation,Advanced
0.33,PHP,Academic Learning,Beginner
0.29,Python,Competitive Programming,Beginner
0.74,JavaScript,Competitive Programming,Intermediate
0.39,MySQL,Academic Learning,Beginner
0.57,PHP,Academic Learning,Intermediate
0.91,C,Interview Preparation,Advanced
0.56,JavaScript,Interview Preparation,Intermediate
0.94,PHP,Academic Learning,Advanced
0.58,C++,Interview Preparation,Intermediate
0.54,Java,Academic Learning,Intermediate
0.42,React.js,Academic Learning,Beginner
0.22,C++,Academic Learning,Beginner
0.39,React.js,Academic Learning,Beginner
0.64,PHP,Academic Learning,Intermediate
0.38,MySQL,Competitive Programming,Beginner
0.34,Java,Competitive Programming,Beginner
0.67,C++,Interview Preparation,Intermediate
0.88,JavaScript,Interview Preparation,Advanced
0.59,PHP,Interview Preparation,Intermediate
0.23,Python,Competitive Programming,Beginner
0.33,Java,Academic Learning,Beginner
0.92,PHP,Interview Preparation,Advanced
0.37,C++,Academic Learning,Beginner
0.34,C,Competitive Programming,Beginner
0.26,Python,Academic Learning,Beginner
0.31,JavaScript,Competitive Programming,Beginner
0.45,React.js,Academic Learning,Beginner
0.54,C++,Competitive Programming,Intermediate
0.58,PHP,Academic Learning,Intermediate
0.77,C,Academic Learning,Intermediate
0.78,PHP,Competitive Programming,Intermediate
0.84,PHP,Academic Learning,Advanced
0.77,JavaScript,Interview Preparation,Intermediate
0.22,JavaScript,Academic Learning,Beginner
0.94,C,Competitive Programming,Advanced
0.64,JavaScript,Competitive Programming,Intermediate
0.94,C,Interview Preparation,Advanced
0.22,C,Academic Learning,Beginner
0.79,Java,Interview Preparation,Intermediate
0.37,PHP,Competitive Programming,Beginner
0.74,Java,Academic Learning,Intermediate
0.27,C++,Academic Learning,Beginner
0.27,PHP,Competitive Programming,Beginner
0.57,React.js,Academic Learning,Intermediate
0.59,PHP,Interview Preparation,Intermediate
0.31,Python,Interview Preparation,Beginner
0.91,Python,Interview Preparation,Advanced
0.47,C,Interview Preparation,Beginner
0.26,C,Academic Learning,Beginner
0.57,Java,Competitive Programming,Intermediate
0.21,C++,Competitive Programming,Beginner
0.37,React.js,Academic Learning,Beginner
0.73,MySQL,Interview Preparation,Intermediate
0.39,React.js,Academic Learning,Beginner
0.82,JavaScript,Competitive Programming,Advanced
0.36,PHP,Competitive Programming,Beginner
0.67,C++,Competitive Programming,Intermediate
0.44,C,Academic Learning,Beginner
0.74,React.js,Academic Learning,Intermediate
0.67,JavaScript,Competitive Programming,Intermediate
0.61,C,Academic Learning,Intermediate
0.84,PHP,Interview Preparation,Advanced
0.33,PHP,Competitive Programming,Beginner
0.36,C++,Academic Learning,Beginner
0.33,JavaScript,Competitive Programming,Beginner
0.51,Java,Academic Learning,Intermediate
0.39,Java,Academic Learning,Beginner
0.33,MySQL,Interview Preparation,Beginner
0.52,JavaScript,Academic Learning,Intermediate
0.59,JavaScript,Academic Learning,Intermediate
0.3,MySQL,Competitive Programming,Beginner
0.34,JavaScript,Competitive Programming,Beginner
0.21,Java,Academic Learning,Beginner
0.62,React.js,Academic Learning,Intermediate
0.73,Python,Interview Preparation,Intermediate
0.91,Java,Interview Preparation,Advanced
0.37,MySQL,Interview Preparation,Beginner
0.27,C,Academic Learning,Beginner
0.52,C++,Interview Preparation,Intermediate
0.73,C++,Interview Preparation,Intermediate
0.83,JavaScript,Interview Preparation,Advanced
0.47,MySQL,Competitive Programming,Beginner
0.83,React.js,Interview Preparation,Advanced
0.24,PHP,Competitive Programming,Beginner
0.67,React.js,Interview Preparation,Intermediate
0.65,React.js,Academic Learning,Intermediate
0.51,JavaScript,Academic Learning,Intermediate
0.81,JavaScript,Interview Preparation,Advanced
0.36,PHP,Academic Learning,Beginner
0.92,React.js,Academic Learning,Advanced
0.64,PHP,Academic Learning,Intermediate
0.77,React.js,Interview Preparation,Intermediate
0.38,JavaScript,Competitive Programming,Beginner
0.7,C++,Interview Preparation,Intermediate
0.56,Python,Academic Learning,Intermediate
0.37,PHP,Academic Learning,Beginner
0.45,C,Competitive Programming,Beginner
0.2,PHP,Interview Preparation,Beginner
0.54,Java,Academic Learning,Intermediate
0.7,C,Interview Preparation,Intermediate
0.66,JavaScript,Interview Preparation,Intermediate
0.93,MySQL,Academic Learning,Advanced
0.38,MySQL,Competitive Programming,Beginner
0.93,JavaScript,Competitive Programming,Advanced
0.57,MySQL,Competitive Programming,Intermediate
0.4,PHP,Interview Preparation,Beginner
0.46,JavaScript,Interview Preparation,Beginner
0.67,Python,Competitive Programming,Intermediate
0.67,Python,Academic Learning,Intermediate
0.42,JavaScript,Interview Preparation,Beginner
0.94,C++,Academic Learning,Advanced
0.93,JavaScript,Interview Preparation,Advanced
0.83,JavaScript,Competitive Programming,Advanced
0.84,C++,Academic Learning,Advanced
0.39,C++,Competitive Programming,Beginner
0.25,PHP,Interview Preparation,Beginner
0.53,Python,Interview Preparation,Intermediate
0.9,JavaScript,Academic Learning,Advanced
0.67,JavaScript,Competitive Programming,Intermediate
0.36,MySQL,Competitive Programming,Beginner
0.21,C,Academic Learning,Beginner
0.34,C,Competitive Programming,Beginner
0.28,JavaScript,Interview Preparation,Beginner
0.42,MySQL,Academic Learning,Beginner
0.65,JavaScript,Interview Preparation,Intermediate
0.8,React.js,Interview Preparation,Intermediate
0.64,MySQL,Interview Preparation,Intermediate
0.74,Java,Academic Learning,Intermediate
0.61,C++,Competitive Programming,Intermediate
0.36,React.js,Academic Learning,Beginner
0.37,Python,Academic Learning,Beginner
0.68,C++,Competitive Programming,Intermediate
0.29,Python,Competitive Programming,Beginner
0.43,C,Interview Preparation,Beginner
0.89,Java,Interview Preparation,Advanced
0.78,React.js,Interview Preparation,Intermediate
0.68,C++,Academic Learning,Intermediate
0.59,JavaScript,Interview Preparation,Intermediate
0.59,Python,Interview Preparation,Intermediate
0.88,PHP,Competitive Programming,Advanced
0.64,Java,Academic Learning,Intermediate
0.7,Python,Academic Learning,Intermediate
0.61,Java,Competitive Programming,Intermediate
0.35,Python,Academic Learning,Beginner
0.81,Java,Competitive Programming,Advanced
0.66,C,Academic Learning,Intermediate
0.67,C,Interview Preparation,Intermediate
0.64,MySQL,Academic Learning,Intermediate
0.49,PHP,Academic Learning,Beginner
0.27,MySQL,Academic Learning,Beginner
0.38,C++,Interview Preparation,Beginner
0.38,React.js,Interview Preparation,Beginner
0.69,React.js,Academic Learning,Intermediate
0.93,Python,Interview Preparation,Advanced
0.39,MySQL,Interview Preparation,Beginner
0.89,Python,Competitive Programming,Advanced
0.86,C,Interview Preparation,Advanced
0.79,MySQL,Academic Learning,Intermediate
0.89,JavaScript,Competitive Programming,Advanced
0.4,Java,Academic Learning,Beginner
0.63,Python,Competitive Programming,Intermediate
0.33,JavaScript,Interview Preparation,Beginner
0.91,PHP,Interview Preparation,Advanced
0.85,Python,Interview Preparation,Advanced
0.59,PHP,Academic Learning,Intermediate
0.38,C++,Interview Preparation,Beginner
0.44,PHP,Academic Learning,Beginner
0.72,PHP,Competitive Programming,Intermediate
0.44,PHP,Interview Preparation,Beginner
0.32,C,Academic Learning,Beginner
0.54,PHP,Competitive Programming,Intermediate
0.3,Java,Interview Preparation,Beginner
0.62,C,Academic Learning,Intermediate
0.63,PHP,Interview Preparation,Intermediate
0.37,Java,Academic Learning,Beginner
0.8,Java,Interview Preparation,Intermediate
0.35,Python,Academic Learning,Beginner
0.49,React.js,Academic Learning,Beginner
0.52,React.js,Interview Preparation,Intermediate
0.74,PHP,Academic Learning,Intermediate
0.8,C,Competitive Programming,Intermediate
0.5,JavaScript,Academic Learning,Beginner
0.23,C,Academic Learning,Beginner
0.71,Python,Competitive Programming,Intermediate
0.51,Java,Interview Preparation,Intermediate
0.81,C++,Academic Learning,Advanced
0.61,Python,Academic Learning,Intermediate
0.65,PHP,Academic Learning,Intermediate
0.87,React.js,Academic Learning,Advanced
0.64,Python,Competitive Programming,Intermediate
0.77,Python,Competitive Programming,Intermediate
0.57,Java,Interview Preparation,Intermediate
0.36,C,Academic Learning,Beginner
0.79,C++,Competitive Programming,Intermediate
0.3,PHP,Interview Preparation,Beginner
0.75,PHP,Interview Preparation,Intermediate
0.42,PHP,Academic Learning,Beginner
0.32,Python,Competitive Programming,Beginner
0.77,Python,Academic Learning,Intermediate
0.35,Python,Interview Preparation,Beginner
0.24,Java,Interview Preparation,Beginner
0.5,Java,Academic Learning,Beginner
0.59,JavaScript,Competitive Programming,Intermediate
0.84,MySQL,Competitive Programming,Advanced
0.68,MySQL,Academic Learning,Intermediate
0.79,Python,Interview Preparation,Intermediate
0.27,React.js,Competitive Programming,Beginner
0.7,JavaScript,Interview Preparation,Intermediate
0.71,JavaScript,Competitive Programming,Intermediate
0.68,C,Interview Preparation,Intermediate
0.85,C++,Competitive Programming,Advanced
0.25,Java,Competitive Programming,Beginner
0.31,C++,Interview Preparation,Beginner
0.34,C++,Academic Learning,Beginner
0.59,C,Competitive Programming,Intermediate
0.9,MySQL,Interview Preparation,Advanced
0.8,PHP,Competitive Programming,Intermediate
0.88,C++,Competitive Programming,Advanced
0.43,C++,Academic Learning,Beginner
0.59,MySQL,Academic Learning,Intermediate
0.39,Python,Competitive Programming,Beginner
0.85,C,Academic Learning,Advanced
0.53,Python,Competitive Programming,Intermediate
0.36,JavaScript,Academic Learning,Beginner
0.78,Java,Competitive Programming,Intermediate
0.43,Java,Competitive Programming,Beginner
0.71,C++,Academic Learning,Intermediate
0.72,Java,Interview Preparation,Intermediate
0.3,JavaScript,Interview Preparation,Beginner
0.23,JavaScript,Interview Preparation,Beginner
0.65,C++,Interview Preparation,Intermediate
0.76,Java,Academic Learning,Intermediate
0.27,MySQL,Interview Preparation,Beginner
0.64,Python,Interview Preparation,Intermediate
0.81,React.js,Competitive Programming,Advanced
0.36,C,Interview Preparation,Beginner
0.9,PHP,Competitive Programming,Advanced
0.84,JavaScript,Academic Learning,Advanced
0.58,C,Interview Preparation,Intermediate
0.7,C,Competitive Programming,Intermediate
0.9,C,Academic Learning,Advanced
0.56,C++,Interview Preparation,Intermediate
0.23,React.js,Academic Learning,Beginner
0.28,C++,Competitive Programming,Beginner
0.3,Java,Competitive Programming,Beginner
0.3,C,Competitive Programming,Beginner
0.57,Java,Interview Preparation,Intermediate
0.75,C,Academic Learning,Intermediate
0.73,MySQL,Interview Preparation,Intermediate
0.66,Python,Academic Learning,Intermediate
0.85,MySQL,Interview Preparation,Advanced
0.74,Python,Interview Preparation,Intermediate
0.47,C,Interview Preparation,Beginner
0.93,PHP,Competitive Programming,Advanced
0.59,Java,Competitive Programming,Intermediate
0.26,Python,Interview Preparation,Beginner
0.77,React.js,Interview Preparation,Intermediate
0.9,C++,Academic Learning,Advanced
0.3,React.js,Interview Preparation,Beginner
0.56,C,Competitive Programming,Intermediate
0.95,JavaScript,Academic Learning,Advanced
0.23,JavaScript,Academic Learning,Beginner
0.32,Python,Interview Preparation,Beginner
0.75,Java,Interview Preparation,Intermediate
0.44,Java,Academic Learning,Beginner
0.95,C,Competitive Programming,Advanced
0.74,Python,Academic Learning,Intermediate
0.87,C,Competitive Programming,Advanced
0.43,C++,Interview Preparation,Beginner
0.7,Java,Interview Preparation,Intermediate
0.74,JavaScript,Competitive Programming,Intermediate
0.77,C,Interview Preparation,Intermediate
0.27,MySQL,Competitive Programming,Beginner
0.55,C,Academic Learning,Intermediate
0.47,MySQL,Academic Learning,Beginner
0.94,PHP,Competitive Programming,Advanced
0.77,MySQL,Academic Learning,Intermediate
0.62,PHP,Academic Learning,Intermediate
0.71,JavaScript,Academic Learning,Intermediate
0.79,C++,Interview Preparation,Intermediate
0.6,C++,Competitive Programming,Intermediate
0.83,React.js,Interview Preparation,Advanced
0.34,JavaScript,Academic Learning,Beginner
